Video,Total Views
ZAYN - Dusk Till Dawn (Official Video) ft. Sia,"2,249,338,040"
Imagine Dragons - Thunder,"2,235,152,049"
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],"2,234,900,554"
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)","2,226,395,594"
"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho","2,216,633,976"
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),"2,214,345,393"
Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),"2,208,546,699"
Future - Life Is Good (Official Music Video) ft. Drake,"2,206,717,199"
The Weeknd - The Hills,"2,192,655,776"
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,"2,177,979,900"
"Billie Eilish, Khalid - lovely","2,174,645,200"
Eminem - Without Me (Official Music Video),"2,139,838,465"
Coldplay - Hymn For The Weekend (Official Video),"2,130,829,142"
Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],"2,119,822,367"
a-ha - Take On Me (Official Video) [Remastered in 4K],"2,118,805,691"
J. Balvin - Ay Vamos (Official Video),"2,083,907,558"
BLACKPINK - 'Kill This Love' M/V,"2,066,755,892"
Drake - Hotline Bling,"2,060,737,238"
"Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj","2,051,315,832"
Bruno Mars - Just The Way You Are (Official Music Video),"2,024,441,673"
Camila Cabello - Havana (Audio) ft. Young Thug,"2,018,737,833"
Daddy Yankee - Dura (Video Oficial),"2,018,213,129"
Rag'n'Bone Man - Human (Official Video),"2,000,001,126"
In The End [Official HD Music Video] - Linkin Park,"1,970,027,604"
Silentó - Watch Me (Whip/Nae Nae) (Official),"1,969,960,619"
David Guetta - Titanium ft. Sia (Official Video),"1,968,360,710"
Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),"1,967,478,888"
Nirvana - Smells Like Teen Spirit (Official Music Video),"1,961,889,908"
Eminem - Not Afraid,"1,960,187,646"
Danny Ocean -  Me Rehúso (Official Audio),"1,945,753,808"
Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,"1,939,195,810"
Coldplay - Paradise (Official Video),"1,937,048,692"
Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma,"1,936,898,473"
BTS (방탄소년단) 'Dynamite' Official MV,"1,931,278,005"
Maluma - Felices los 4 (Official Video),"1,930,577,216"
Sia - Cheap Thrills (Official Lyric Video) ft. Sean Paul,"1,924,852,821"
Lady Gaga - Bad Romance (Official Music Video),"1,912,539,695"
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),"1,908,813,388"
Queen – Bohemian Rhapsody (Official Video Remastered),"1,895,873,606"
4 Non Blondes - What's Up (Official Music Video),"1,893,764,161"
P!nk - Just Give Me A Reason ft. Nate Ruess,"1,888,047,326"
MC Fioti - Bum Bum Tam Tam (KondZilla) | Official Music Video,"1,876,164,444"
Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),"1,871,303,366"
The Weeknd - Save Your Tears (Official Music Video),"1,865,755,464"
CNCO - Reggaetón Lento (Bailemos),"1,847,855,676"
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)","1,845,010,929"
"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","1,841,674,691"
"Carlos Vives, Sebastián Yatra - Robarte un Beso (Official Video)","1,839,855,861"
BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,"1,836,510,628"
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],"1,826,673,234"
"Alex Rose  ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial]","1,825,404,859"
Ozuna - Se Preparó (Video Oficial) | Odisea,"1,810,992,456"
Michael Jackson - Billie Jean (Official Video),"1,805,482,767"
BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO,"1,798,232,111"
French Montana - Unforgettable ft. Swae Lee,"1,793,618,153"
Martin Garrix - Animals (Official Video),"1,783,197,239"
"Shawn Mendes, Camila Cabello - Señorita","1,771,339,340"
Lehanga : Jass Manak (Official Video) Satti Dhillon - Punjabi Song - GK Digital - Geet MP3,"1,770,682,340"
Justin Bieber - Love Yourself (PURPOSE : The Movement),"1,769,489,530"
BLACKPINK - '붐바야 (BOOMBAYAH)' M/V,"1,767,252,844"
Sam Smith - I'm Not The Only One (Official Music Video),"1,754,627,370"
CantaJuego - Soy Una Taza (Version Mexico),"1,750,921,034"
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)","1,750,338,016"
"Carlos Vives, Shakira - La Bicicleta","1,741,467,112"
Guns N' Roses - Sweet Child O' Mine (Official Music Video),"1,741,294,399"
Daddy Yankee - Shaky Shaky (Video Oficial),"1,733,187,873"
Whitney Houston - I Will Always Love You (Official 4K Video),"1,731,524,967"
Arctic Monkeys - Do I Wanna Know? (Official Video),"1,730,471,205"
Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video],"1,728,780,203"
Dwayne Johnson - You're Welcome (from Moana/Official Video),"1,727,177,765"
James Arthur - Say You Won't Let Go,"1,725,309,195"
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),"1,722,967,955"
Bruno Mars - 24K Magic (Official Music Video),"1,713,139,275"
Maluma - Corazón (Official Video) ft. Nego do Borel,"1,707,466,029"
Carly Rae Jepsen - Call Me Maybe,"1,705,678,797"
Calvin Harris - Summer (Official Video),"1,698,421,353"
Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,"1,692,629,712"
52 GAJ KA DAMAN | PRANJAL DAHIYA | AMAN JAJI | RENUKA PANWAR  | MUKESH JAJI | SAHIL SANDHU,"1,686,992,614"
HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),"1,686,556,345"
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack","1,682,586,695"
Wisin - Escápate Conmigo (Official Video) ft. Ozuna,"1,675,877,694"
Taylor Swift - You Belong With Me,"1,668,995,052"
PSY - GENTLEMAN M/V,"1,665,827,809"
Rahat Fateh Ali Khan - Zaroori Tha,"1,665,447,578"
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]","1,664,157,636"
Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony,"1,659,986,965"
Beyoncé - Halo,"1,656,131,266"
The Cranberries - Zombie (Official Music Video),"1,654,822,948"
Tyga - Taste (Official Video) ft. Offset,"1,653,961,134"
Calvin Harris & Disciples - How Deep Is Your Love,"1,652,700,146"
"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan","1,650,658,313"
Taylor Swift - Bad Blood ft. Kendrick Lamar,"1,649,741,582"
"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D'Souza | Bhushan Kumar | Radhika R, Vinay S","1,648,450,515"
Post Malone - Congratulations (Official Music Video) ft. Quavo,"1,648,223,139"
PULCINO PIO - El Pollito Pio (Official video),"1,647,323,887"
Charlie Puth - Attention [Official Video],"1,644,839,191"
Shawn Mendes - Stitches (Official Music Video),"1,633,085,358"
Rick Astley - Never Gonna Give You Up (Official Music Video),"1,629,643,165"
22. Hasta el Amanecer - Nicky Jam | Video Oficial,"1,627,901,571"
Drake - God's Plan,"1,618,706,164"
BTS (방탄소년단) 'DNA' Official MV,"1,612,822,834"
Lukas Graham - 7 Years [Official Music Video],"1,608,096,598"
Coldplay - Adventure Of A Lifetime (Official Video),"1,607,493,683"
Ellie Goulding - Burn (Official Video),"1,606,341,561"
One Direction - What Makes You Beautiful (Official Video),"1,604,233,379"
DJ Snake - Let Me Love You ft. Justin Bieber,"1,600,000,348"
Aqua - Barbie Girl (Official Music Video),"1,591,741,764"
"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018","1,583,987,473"
Don Omar - Danza Kuduro ft. Lucenzo,"1,582,384,071"
"Myke Towers, Farruko, Arcangel, Sech & Zion - Si Se Da Remix (Video Oficial)","1,581,086,884"
BAD BUNNY x DRAKE - MÍA (Video Oficial),"1,577,401,900"
"Anuel AA, KAROL G - Secreto","1,576,659,973"
"KAROL G, Nicki Minaj - Tusa (Official Video)","1,567,635,181"
Christian Nodal - Adiós Amor (Video Oficial),"1,567,188,048"
"Thalia, NATTI NATASHA - No Me Acuerdo (Official Video)","1,565,814,406"
6ix9ine - BEBE ft. Anuel AA,"1,561,221,476"
twenty one pilots - Ride (Official Video),"1,560,223,392"
BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),"1,560,215,360"
Dr. Dre - Still D.R.E. ft. Snoop Dogg,"1,552,500,975"
"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox","1,552,202,271"
Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,"1,550,707,260"
Backstreet Boys - I Want It That Way (Official HD Video),"1,550,460,082"
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),"1,540,040,683"
"Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)","1,533,356,195"
AC/DC - Thunderstruck (Official Video),"1,531,269,676"
Prince Royce - Darte un Beso,"1,530,224,329"
Sam Smith - Too Good At Goodbyes,"1,527,054,502"
Taylor Swift - Look What You Made Me Do,"1,526,173,050"
Cyndi Lauper - Girls Just Want To Have Fun (Official Video),"1,514,508,992"
Imagine Dragons - Radioactive,"1,513,384,431"
Evanescence - Bring Me To Life (Official HD Music Video),"1,511,178,302"
Katy Perry - Firework (Official Music Video),"1,510,172,679"
"AronChupa, Little Sis Nora - I'm an Albatraoz | OFFICIAL VIDEO","1,508,487,604"
Eminem - Rap God (Explicit),"1,488,098,061"
BTS (방탄소년단) 'MIC Drop (Steve Aoki Remix)' Official MV,"1,485,237,460"
"OFFICIAL Somewhere over the Rainbow - Israel ""IZ"" Kamakawiwoʻole","1,485,182,478"
Ariana Grande - 7 rings (Official Video),"1,476,455,069"
Lady Gaga - Poker Face (Official Music Video),"1,472,600,715"
Arcangel x Bad Bunny X Dj Luian X Mambo Kingz - Tu No Vive Asi [Video oficial],"1,472,402,612"
El Amante - Nicky Jam | Video Oficial,"1,470,444,249"
Bon Jovi - It's My Life (Official Music Video),"1,460,514,597"
"Lut Gaye (Full Song) Emraan Hashmi, Yukti | Jubin N, Tanishk B, Manoj M | Bhushan K | Radhika-Vinay","1,459,440,616"
Bruno Mars - When I Was Your Man (Official Music Video),"1,457,924,324"
The Weeknd - Can't Feel My Face (Official Video),"1,455,897,257"
LP - Lost On You (Live),"1,455,507,212"
Metallica: Nothing Else Matters (Official Music Video),"1,455,276,283"
"Chris Jedi - Ahora Dice (Official Video) ft. J. Balvin, Ozuna, Arcángel","1,447,855,476"
System Of A Down - Chop Suey! (Official HD Video),"1,445,708,971"
21. El Perdón - Nicky Jam y Enrique Iglesias  (Official Music Video YTMAs),"1,442,317,823"
Ariana Grande - Problem ft. Iggy Azalea,"1,438,262,353"
"Chris Brown - Loyal (Official Video) ft. Lil Wayne, Tyga","1,437,255,155"
Alan Walker - Alone,"1,434,023,672"
BLACKPINK - '마지막처럼 (AS IF IT'S YOUR LAST)' M/V,"1,433,020,793"
Rihanna - Work (Explicit) ft. Drake,"1,431,628,970"
Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video),"1,429,574,689"
Ed Sheeran - Photograph (Official Music Video),"1,425,107,408"
Daddy Yankee - Limbo (Video Oficial),"1,417,708,103"
Akon - Smack That (Official Music Video) ft. Eminem,"1,409,296,741"
"DILBAR Lyrical | Satyameva Jayate |John Abraham, Nora Fatehi,Tanishk B, Neha Kakkar,Dhvani, Ikka","1,405,150,968"
Melendi - Destino o Casualidad ft. Ha*Ash,"1,404,532,399"
Enrique Iglesias - El Perdedor (Pop) ft. Marco Antonio Solís,"1,404,401,700"
Pharrell Williams - Happy (Video),"1,401,631,510"
Auli'i Cravalho - How Far I'll Go (from Moana/Official Video),"1,400,000,309"
KAROL G - BICHOTA (Official Video),"1,387,678,176"
Zion & Lennox ft. J Balvin - Otra Vez (Video Oficial),"1,387,566,366"
The Police - Every Breath You Take (Official Music Video),"1,386,715,095"
Sean Kingston - Beautiful Girls (Official HD Video),"1,385,331,825"
OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records],"1,380,513,074"
Pitbull - Rain Over Me ft. Marc Anthony,"1,375,816,425"
George Michael - Careless Whisper (Official Video),"1,375,701,041"
Ricardo Arjona - Fuiste tú feat. Gaby Moreno (Video Oficial),"1,371,864,860"
Paulo Londra - Adan y Eva (Official Video),"1,369,444,814"
Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],"1,369,366,583"
Shakira - Can't Remember to Forget You (Official Video) ft. Rihanna,"1,365,728,808"
Katy Perry - Bon Appétit (Official) ft. Migos,"1,365,695,741"
Joey Montana - Picky,"1,365,100,508"
Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video),"1,362,979,297"
Harry Styles - Sign of the Times (Official Video),"1,362,682,176"
Sean Paul - No Lie ft. Dua Lipa,"1,358,423,665"
Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever | Gaurav Jang,"1,358,255,530"
Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus,"1,351,181,593"
Osito Gominola - Full Spanish Version - The Gummy Bear Song,"1,340,274,973"
Ricky Martin - La Mordidita (Official Video) ft. Yotuel,"1,339,963,699"
Naughty Boy - La la la ft. Sam Smith (Official Video),"1,334,525,958"
Shakira - La La La (Brazil 2014) ft. Carlinhos Brown,"1,334,391,444"
Maluma - El Perdedor (Official Video),"1,330,121,136"
CantaJuego - El Baile del Gorila,"1,327,362,545"
Audioslave - Like a Stone (Official Video),"1,325,024,678"
BTS (방탄소년단) 'IDOL' Official MV,"1,323,740,419"
Shawn Mendes - There's Nothing Holdin' Me Back (Official Music Video),"1,321,887,663"
BLACKPINK - 'How You Like That' M/V,"1,319,817,525"
R.E.M. - Losing My Religion (Official HD Music Video),"1,319,606,251"
Justin Timberlake - Mirrors (Official Video),"1,315,676,856"
Migos - Bad and Boujee ft Lil Uzi Vert [Official Video],"1,314,623,085"
BTS (방탄소년단) 'FAKE LOVE' Official MV,"1,314,211,544"
Los Ángeles Azules - Mis Sentimientos ft. Ximena Sariñana (Live),"1,307,947,996"
"Cham Cham Full Video | BAAGHI | Tiger Shroff, Shraddha Kapoor| Meet Bros, Monali Thakur| Sabbir Khan","1,305,620,666"
Billie Eilish - bad guy,"1,305,248,523"
Europe - The Final Countdown (Official Video),"1,300,000,296"
"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)","1,298,606,220"
The Weeknd - I Feel It Coming ft. Daft Punk (Official Video),"1,295,889,393"
"KAROL G, Shakira - TQG (Official Video)","1,292,436,015"
Marshmello ft. Bastille - Happier (Official Music Video),"1,290,866,539"
Travis Scott - SICKO MODE ft. Drake,"1,289,084,524"
Katy Perry - Hot N Cold (Official Music Video),"1,284,495,723"
Bon Jovi - Livin' On A Prayer,"1,278,332,697"
Romeo Santos - Eres Mía,"1,266,678,463"
"Bum Bum Bole (Full Song) Film - Taare Zameen Par |  Shaan, Aamir Khan","1,265,153,982"
XXXTENTACION - SAD!,"1,264,847,864"
J Balvin - 6 AM ft. Farruko,"1,262,769,165"
Maluma - Borro Cassette (Official Video),"1,262,421,507"
Marc Anthony - Vivir Mi Vida (Official Video),"1,260,739,445"
Chino & Nacho - Me Voy Enamorando ft. Farruko (Remix) (Official Music Video),"1,259,477,315"
Coldplay - The Scientist (Official 4K Video),"1,259,031,655"
Indila - Dernière Danse (Clip Officiel),"1,258,096,796"
Paulo Londra - Tal Vez (Official Video),"1,256,417,930"
"SIMMBA: Aankh Marey Lyrical | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi, Mika Singh,Neha,Kumar S","1,255,701,906"
ROSÉ & Bruno Mars - APT. (Official Music Video),"1,254,786,256"
MC Kevinho - Olha a Explosão (KondZilla) | Official Music Video,"1,251,961,718"
Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T-Series,"1,251,198,155"
"DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller","1,250,696,774"
Avicii - Waiting For Love,"1,247,829,915"
Justin Bieber - Never Say Never ft. Jaden,"1,247,263,615"
"Tujh Mein Rab Dikhta Hai Song | Rab Ne Bana Di Jodi | Shah Rukh Khan, Anushka Sharma | Roop Kumar","1,242,485,264"
"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)","1,240,465,599"
Ariana Grande - no tears left to cry (Official Video),"1,239,882,816"
Post Malone ft. 21 Savage - rockstar (Official Music Video),"1,239,398,435"
ZAYN - PILLOWTALK (Official Video),"1,236,568,223"
XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO),"1,234,740,162"
Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO],"1,230,131,154"
Sam Smith - Stay With Me (Official Music Video),"1,229,361,355"
Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*,"1,227,742,265"
"David Guetta - Play Hard ft. Ne-Yo, Akon (Official Video)","1,227,028,264"
Amy Winehouse - Back To Black,"1,226,651,454"
"Diles - Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow","1,225,815,084"
"KAROL G, Anuel AA - Culpables (Official Video)","1,224,288,839"
"DJ Snake, Lil Jon - Turn Down for What","1,223,248,766"
Alan Walker - The Spectre,"1,221,761,152"
Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE],"1,219,250,860"
Bruno Mars - Grenade (Official Music Video),"1,218,061,463"
"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer","1,217,979,186"
Miley Cyrus - Wrecking Ball (Official Video),"1,217,426,051"
"Tainy, Anuel AA, Ozuna - Adicto (Official Video)","1,216,551,334"
Bom Diggy Diggy  (VIDEO) | Zack Knight | Jasmin Walia | Sonu Ke Titu Ki Sweety,"1,215,412,504"
Ariana Grande - Break Free (Official Video) ft. Zedd,"1,213,527,630"
Michel Teló - Ai Se Eu Te Pego -  Video Oficial (Assim você me mata),"1,211,109,022"
Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],"1,206,952,298"
Dynoro & Gigi D’Agostino - In My Mind,"1,197,778,071"
Eminem - Mockingbird [Official Music Video],"1,196,412,871"
Imagine Dragons - Demons (Official Music Video),"1,196,396,386"
Akon - Lonely (Official Music Video),"1,194,148,187"
Tove Lo - Habits (Stay High) - Hippie Sabotage Remix,"1,192,227,508"
Calum Scott - You Are The Reason (Official Video),"1,190,307,707"
Lil Pump - Gucci Gang [Official Music Video],"1,188,745,785"
BAD BUNNY - CALLAÍTA (Video Oficial),"1,188,729,515"
Iggy Azalea - Fancy ft. Charli XCX,"1,185,597,850"
DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video],"1,185,533,508"
"Arcángel, Sech - Sigues Con Él (Video Oficial)","1,181,096,853"
BAD BUNNY - AMORFODA (Video Oficial),"1,179,118,163"
Bonnie Tyler - Total Eclipse of the Heart (Turn Around) (Official Video),"1,177,411,427"
The Black Eyed Peas - Where Is The Love? (Official Music Video),"1,175,083,046"
Dil Laga Liya - Full Video | Dil Hai Tumhaara | Preity & Arjun Rampal | Alka Yagnik & Udit Narayan,"1,174,279,655"
Ylvis - The Fox (What Does The Fox Say?) [Official music video HD],"1,171,596,657"
Saad Lamjarred - LM3ALLEM (Exclusive Music Video) |  (سعد لمجرد - لمعلم (فيديو كليب حصري,"1,169,086,998"
Travesuras - Nicky Jam | Video Oficial,"1,165,293,504"
Rihanna - Stay ft. Mikky Ekko,"1,161,555,050"
FILHALL | Akshay Kumar Ft Nupur Sanon | BPraak | Jaani | Arvindr Khaira | Ammy Virk | DESI MELODIES,"1,160,536,148"
"Maluma - Cuatro Babys (Official Video) ft. Trap Capos, Noriel, Bryant Myers, Juhn","1,159,877,088"
KAROL G - Provenza (Official Video),"1,158,291,212"
Nicki Minaj - Anaconda,"1,157,712,628"
Rihanna - We Found Love ft. Calvin Harris,"1,157,135,055"
Cardi B - Bodak Yellow [OFFICIAL MUSIC VIDEO],"1,156,803,816"
Michael Jackson - Beat It (Official 4K Video),"1,156,141,777"
Michael Jackson - They Don’t Care About Us (Brazil Version) (Official Video),"1,156,131,061"
Justin Bieber - Beauty And A Beat (Official Music Video) ft. Nicki Minaj,"1,155,478,940"
Daru Badnaam | Kamal Kahlon & Param Singh | Official Video | Pratik Studio | Latest Punjabi Songs,"1,155,265,259"
Coldplay - Yellow (Official Video),"1,152,772,210"
"Bella, Wolfine - Video Oficial","1,149,783,791"
Maroon 5 - One More Night (Official Music Video),"1,149,363,190"
No Doubt - Don't Speak (Official 4K Music Video),"1,143,023,167"
Hoobastank - The Reason (Official Music Video),"1,140,427,145"
The Verve - Bitter Sweet Symphony,"1,140,289,352"
Scorpions - Wind Of Change (Official Music Video),"1,138,564,074"
Pharrell Williams - Happy (Official Music Video),"1,138,303,392"
Enrique Iglesias - DUELE EL CORAZON ft. Wisin,"1,137,792,234"
Radiohead - Creep,"1,137,339,358"
Bruno Mars - Locked Out Of Heaven (Official Music Video),"1,137,331,290"
Maluma - Hawái (Official Video),"1,136,063,775"
Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z,"1,132,488,658"
"Cali Y El Dandee - Por Fin Te Encontré ft. Juan Magan, Sebastian Yatra (Video Oficiel)","1,132,393,679"
David Guetta & Showtek - Bad ft.Vassy (Lyrics Video),"1,132,314,730"
"Full Song: KHAIRIYAT (BONUS TRACK) | CHHICHHORE | Sushant, Shraddha | Pritam, Amitabh B|Arijit Singh","1,131,596,061"
Foster The People - Pumped Up Kicks (Official Video),"1,131,580,560"
Thalia - Desde Esa Noche (Premio Lo Nuestro 2016) ft. Maluma,"1,131,245,505"
