Video,Total Views,Artist,Title,Total Views_normalized
Justin Bieber - What Do You Mean?,2280082335,Justin Bieber,What Do You Mean?,0.23066403371713806
"Becky G, NATTI NATASHA - Sin Pijama (Official Video)",2256490088,"Becky G, NATTI NATASHA",Sin Pijama (Official Video),0.22782335819286426
Guns N' Roses - November Rain,2252778226,Guns N' Roses,November Rain,0.2273764234209079
Romeo Santos - Propuesta Indecente (Official Video),2250225314,Romeo Santos,Propuesta Indecente (Official Video),0.22706903453022598
ZAYN - Dusk Till Dawn (Official Video) ft. Sia,2249338040,ZAYN,Dusk Till Dawn (Official Video) ft. Sia,0.22696220038530013
Imagine Dragons - Thunder,2235152049,Imagine Dragons,Thunder,0.22525410545812896
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],2234900554,twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO],,0.225223823658732
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)",2226395594,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China (Video Oficial),0.22419976555579135
"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho",2216633976,"ROSALÍA, J Balvin",Con Altura (Official Video) ft. El Guincho,0.22302439682851788
TONES AND I - DANCE MONKEY (OFFICIAL VIDEO),2214345393,TONES AND I,DANCE MONKEY (OFFICIAL VIDEO),0.22274883504275966
Los Ángeles Azules - Nunca Es Suficiente ft. Natalia Lafourcade (Live),2208546699,Los Ángeles Azules,Nunca Es Suficiente ft. Natalia Lafourcade (Live),0.222050630750538
Future - Life Is Good (Official Music Video) ft. Drake,2206717199,Future,Life Is Good (Official Music Video) ft. Drake,0.22183034584627864
The Weeknd - The Hills,2192655776,The Weeknd,The Hills,0.22013724979855748
The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya,2177979900,The Chainsmokers,Don't Let Me Down (Official Video) ft. Daya,0.21837016920846036
"Billie Eilish, Khalid - lovely",2174645200,"Billie Eilish, Khalid",lovely,0.21796864744282285
Eminem - Without Me (Official Music Video),2139838465,Eminem,Without Me (Official Music Video),0.21377766723672442
Coldplay - Hymn For The Weekend (Official Video),2130829142,Coldplay,Hymn For The Weekend (Official Video),0.2126928802159554
Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],2119822367,Piso 21,Déjala Que Vuelva (feat. Manuel Turizo) [Video Oficial],0.211367585667128
a-ha - Take On Me (Official Video) [Remastered in 4K],2118805691,a-ha,Take On Me (Official Video) [Remastered in 4K],0.2112451705945274
J. Balvin - Ay Vamos (Official Video),2083907558,J. Balvin,Ay Vamos (Official Video),0.2070431854145675
BLACKPINK - 'Kill This Love' M/V,2066755892,BLACKPINK,'Kill This Love' M/V,0.20497800197499438
Drake - Hotline Bling,2060737238,Drake,Hotline Bling,0.20425331292325327
"Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj",2051315832,Jessie J,"Bang Bang ft. Ariana Grande, Nicki Minaj",0.20311890815763484
Bruno Mars - Just The Way You Are (Official Music Video),2024441673,Bruno Mars,Just The Way You Are (Official Music Video),0.19988306692103103
Camila Cabello - Havana (Audio) ft. Young Thug,2018737833,Camila Cabello,Havana (Audio) ft. Young Thug,0.19919628372982529
Daddy Yankee - Dura (Video Oficial),2018213129,Daddy Yankee,Dura (Video Oficial),0.19913310560989933
Rag'n'Bone Man - Human (Official Video),2000001126,Rag'n'Bone Man,Human (Official Video),0.1969402500005925
In The End [Official HD Music Video] - Linkin Park,1970027604,In The End [Official HD Music Video],Linkin Park,0.19333122325881236
Silentó - Watch Me (Whip/Nae Nae) (Official),1969960619,Silentó,Watch Me (Whip/Nae Nae) (Official),0.19332315778501524
David Guetta - Titanium ft. Sia (Official Video),1968360710,David Guetta,Titanium ft. Sia (Official Video),0.1931305172816598
Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),1967478888,Ozuna x Romeo Santos,El Farsante (Remix) (Video Oficial),0.19302433959658533
Nirvana - Smells Like Teen Spirit (Official Music Video),1961889908,Nirvana,Smells Like Teen Spirit (Official Music Video),0.19235138637209354
Eminem - Not Afraid,1960187646,Eminem,Not Afraid,0.19214642183440872
Danny Ocean -  Me Rehúso (Official Audio),1945753808,Danny Ocean, Me Rehúso (Official Audio),0.19040848435317037
Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial,1939195810,Una Lady Como Tú,MTZ Manuel Turizo | Video Oficial,0.18961885442064053
Coldplay - Paradise (Official Video),1937048692,Coldplay,Paradise (Official Video),0.18936032603416136
Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma,1936898473,Ricky Martin,Vente Pa' Ca (Official Video) ft. Maluma,0.18934223859057958
BTS (방탄소년단) 'Dynamite' Official MV,1931278005,BTS (방탄소년단) 'Dynamite' Official MV,,0.188665493985347
Maluma - Felices los 4 (Official Video),1930577216,Maluma,Felices los 4 (Official Video),0.1885811139701674
Sia - Cheap Thrills (Official Lyric Video) ft. Sean Paul,1924852821,Sia,Cheap Thrills (Official Lyric Video) ft. Sean Paul,0.18789185580973128
Lady Gaga - Bad Romance (Official Music Video),1912539695,Lady Gaga,Bad Romance (Official Music Video),0.18640926724343237
MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),1908813388,MACKLEMORE & RYAN LEWIS,THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO),0.18596059319001007
Queen – Bohemian Rhapsody (Official Video Remastered),1895873606,Queen – Bohemian Rhapsody (Official Video Remastered),,0.18440255075272804
4 Non Blondes - What's Up (Official Music Video),1893764161,4 Non Blondes,What's Up (Official Music Video),0.18414855846529132
P!nk - Just Give Me A Reason ft. Nate Ruess,1888047326,P!nk,Just Give Me A Reason ft. Nate Ruess,0.1834602105830056
MC Fioti - Bum Bum Tam Tam (KondZilla) | Official Music Video,1876164444,MC Fioti,Bum Bum Tam Tam (KondZilla) | Official Music Video,0.18202942647603887
Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),1871303366,Chino y Nacho,Andas En Mi Cabeza ft. Daddy Yankee (Video Oficial),0.18144411786613046
The Weeknd - Save Your Tears (Official Music Video),1865755464,The Weeknd,Save Your Tears (Official Music Video),0.18077611072707034
CNCO - Reggaetón Lento (Bailemos),1847855676,CNCO,Reggaetón Lento (Bailemos),0.17862084804008294
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)",1845010929,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)",0.1782783201250585
"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",1841674691,DJ Khaled,"I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne",0.1778766131732047
"Carlos Vives, Sebastián Yatra - Robarte un Beso (Official Video)",1839855861,"Carlos Vives, Sebastián Yatra",Robarte un Beso (Official Video),0.1776576130133719
BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,1836510628,BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV,,0.17725482299908912
Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],1826673234,Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video],0.17607033029865077
"Alex Rose  ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial]",1825404859,"Alex Rose  ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro",Toda (Remix) [Video Oficial],0.17591760886359198
Ozuna - Se Preparó (Video Oficial) | Odisea,1810992456,Ozuna,Se Preparó (Video Oficial) | Odisea,0.17418225230988726
Michael Jackson - Billie Jean (Official Video),1805482767,Michael Jackson,Billie Jean (Official Video),0.17351884628973752
BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO,1798232111,BLACKPINK,'How You Like That' DANCE PERFORMANCE VIDEO,0.1726458153726685
French Montana - Unforgettable ft. Swae Lee,1793618153,French Montana,Unforgettable ft. Swae Lee,0.17209026178081993
Martin Garrix - Animals (Official Video),1783197239,Martin Garrix,Animals (Official Video),0.17083550909277112
"Shawn Mendes, Camila Cabello - Señorita",1771339340,"Shawn Mendes, Camila Cabello",Señorita,0.16940773311795143
Lehanga : Jass Manak (Official Video) Satti Dhillon - Punjabi Song - GK Digital - Geet MP3,1770682340,Lehanga : Jass Manak (Official Video) Satti Dhillon,Punjabi Song,0.16932862561202172
Justin Bieber - Love Yourself (PURPOSE : The Movement),1769489530,Justin Bieber,Love Yourself (PURPOSE : The Movement),0.1691850027442165
BLACKPINK - '붐바야 (BOOMBAYAH)' M/V,1767252844,BLACKPINK,'붐바야 (BOOMBAYAH)' M/V,0.16891568972898374
Sam Smith - I'm Not The Only One (Official Music Video),1754627370,Sam Smith,I'm Not The Only One (Official Music Video),0.1673954922262128
CantaJuego - Soy Una Taza (Version Mexico),1750921034,CantaJuego,Soy Una Taza (Version Mexico),0.16694922282423785
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",1750338016,"Lady Gaga, Bradley Cooper",Shallow (from A Star Is Born) (Official Music Video),0.16687902328102305
"Carlos Vives, Shakira - La Bicicleta",1741467112,"Carlos Vives, Shakira",La Bicicleta,0.16581090289931533
Guns N' Roses - Sweet Child O' Mine (Official Music Video),1741294399,Guns N' Roses,Sweet Child O' Mine (Official Music Video),0.16579010701701452
Daddy Yankee - Shaky Shaky (Video Oficial),1733187873,Daddy Yankee,Shaky Shaky (Video Oficial),0.16481402322155875
Whitney Houston - I Will Always Love You (Official 4K Video),1731524967,Whitney Houston,I Will Always Love You (Official 4K Video),0.16461379742817128
Arctic Monkeys - Do I Wanna Know? (Official Video),1730471205,Arctic Monkeys,Do I Wanna Know? (Official Video),0.1644869169355328
Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video],1728780203,Coolio,Gangsta's Paradise (feat. L.V.) [Official Music Video],0.16428330818250053
Dwayne Johnson - You're Welcome (from Moana/Official Video),1727177765,Dwayne Johnson,You're Welcome (from Moana/Official Video),0.16409036316943054
James Arthur - Say You Won't Let Go,1725309195,James Arthur,Say You Won't Let Go,0.1638653739573223
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),1722967955,Mike Posner,I Took A Pill In Ibiza (Seeb Remix) (Explicit),0.16358347189159494
Bruno Mars - 24K Magic (Official Music Video),1713139275,Bruno Mars,24K Magic (Official Music Video),0.16240002841917284
Maluma - Corazón (Official Video) ft. Nego do Borel,1707466029,Maluma,Corazón (Official Video) ft. Nego do Borel,0.1617169289647044
Carly Rae Jepsen - Call Me Maybe,1705678797,Carly Rae Jepsen,Call Me Maybe,0.1615017334304003
Calvin Harris - Summer (Official Video),1698421353,Calvin Harris,Summer (Official Video),0.1606278851895105
Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,1692629712,Nelly,Dilemma (Official Music Video) ft. Kelly Rowland,0.15993053012900776
52 GAJ KA DAMAN | PRANJAL DAHIYA | AMAN JAJI | RENUKA PANWAR  | MUKESH JAJI | SAHIL SANDHU,1686992614,52 GAJ KA DAMAN | PRANJAL DAHIYA | AMAN JAJI | RENUKA PANWAR  | MUKESH JAJI | SAHIL SANDHU,,0.1592517831526586
HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),1686556345,HA-ASH,Lo Aprendí de Ti (Primera Fila,0.15919925324017087
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",1682586695,David Guetta,"Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack",0.15872127894654237
Wisin - Escápate Conmigo (Official Video) ft. Ozuna,1675877694,Wisin,Escápate Conmigo (Official Video) ft. Ozuna,0.15791346717121513
Taylor Swift - You Belong With Me,1668995052,Taylor Swift,You Belong With Me,0.15708474777574005
PSY - GENTLEMAN M/V,1665827809,PSY,GENTLEMAN M/V,0.15670338903235592
Rahat Fateh Ali Khan - Zaroori Tha,1665447578,Rahat Fateh Ali Khan,Zaroori Tha,0.1566576064964546
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",1664157636,"Cardi B, Bad Bunny & J Balvin",I Like It [Official Music Video],0.15650228824011675
Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony,1659986965,Gente de Zona,La Gozadera (Official Video) ft. Marc Anthony,0.1560001095782242
Beyoncé - Halo,1656131266,Beyoncé,Halo,0.15553585580119872
The Cranberries - Zombie (Official Music Video),1654822948,The Cranberries,Zombie (Official Music Video),0.15537832494283804
Tyga - Taste (Official Video) ft. Offset,1653961134,Tyga,Taste (Official Video) ft. Offset,0.15527455636427595
Calvin Harris & Disciples - How Deep Is Your Love,1652700146,Calvin Harris & Disciples,How Deep Is Your Love,0.15512272437692842
"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",1650658313,Maari 2,"Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",0.1548768730585799
Taylor Swift - Bad Blood ft. Kendrick Lamar,1649741582,Taylor Swift,Bad Blood ft. Kendrick Lamar,0.15476649207986076
"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D'Souza | Bhushan Kumar | Radhika R, Vinay S",1648450515,"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D'Souza | Bhushan Kumar | Radhika R, Vinay S",,0.1546110383654648
Post Malone - Congratulations (Official Music Video) ft. Quavo,1648223139,Post Malone,Congratulations (Official Music Video) ft. Quavo,0.15458366066642631
PULCINO PIO - El Pollito Pio (Official video),1647323887,PULCINO PIO,El Pollito Pio (Official video),0.15447538428450497
Charlie Puth - Attention [Official Video],1644839191,Charlie Puth,Attention [Official Video],0.1541762090888375
Shawn Mendes - Stitches (Official Music Video),1633085358,Shawn Mendes,Stitches (Official Music Video),0.15276096340581707
Rick Astley - Never Gonna Give You Up (Official Music Video),1629643165,Rick Astley,Never Gonna Give You Up (Official Music Video),0.15234649871303357
22. Hasta el Amanecer - Nicky Jam | Video Oficial,1627901571,22. Hasta el Amanecer,Nicky Jam | Video Oficial,0.15213679832082327
Drake - God's Plan,1618706164,Drake,God's Plan,0.15102960545358024
BTS (방탄소년단) 'DNA' Official MV,1612822834,BTS (방탄소년단) 'DNA' Official MV,,0.1503212103807317
Lukas Graham - 7 Years [Official Music Video],1608096598,Lukas Graham,7 Years [Official Music Video],0.1497521377134634
Coldplay - Adventure Of A Lifetime (Official Video),1607493683,Coldplay,Adventure Of A Lifetime (Official Video),0.14967954242893128
Ellie Goulding - Burn (Official Video),1606341561,Ellie Goulding,Burn (Official Video),0.1495408186877642
One Direction - What Makes You Beautiful (Official Video),1604233379,One Direction,What Makes You Beautiful (Official Video),0.14928697847457406
DJ Snake - Let Me Love You ft. Justin Bieber,1600000348,DJ Snake,Let Me Love You ft. Justin Bieber,0.14877729122201216
Aqua - Barbie Girl (Official Music Video),1591741764,Aqua,Barbie Girl (Official Music Video),0.1477828985542023
"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018",1583987473,"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018",,0.1468492263757194
Don Omar - Danza Kuduro ft. Lucenzo,1582384071,Don Omar,Danza Kuduro ft. Lucenzo,0.14665616529014447
"Myke Towers, Farruko, Arcangel, Sech & Zion - Si Se Da Remix (Video Oficial)",1581086884,"Myke Towers, Farruko, Arcangel, Sech & Zion",Si Se Da Remix (Video Oficial),0.1464999746839124
BAD BUNNY x DRAKE - MÍA (Video Oficial),1577401900,BAD BUNNY x DRAKE,MÍA (Video Oficial),0.14605627621567663
"Anuel AA, KAROL G - Secreto",1576659973,"Anuel AA, KAROL G",Secreto,0.1459669428906356
"KAROL G, Nicki Minaj - Tusa (Official Video)",1567635181,"KAROL G, Nicki Minaj",Tusa (Official Video),0.14488029329146596
Christian Nodal - Adiós Amor (Video Oficial),1567188048,Christian Nodal,Adiós Amor (Video Oficial),0.14482645527556204
"Thalia, NATTI NATASHA - No Me Acuerdo (Official Video)",1565814406,"Thalia, NATTI NATASHA",No Me Acuerdo (Official Video),0.1446610589397016
6ix9ine - BEBE ft. Anuel AA,1561221476,6ix9ine,BEBE ft. Anuel AA,0.14410803726967147
twenty one pilots - Ride (Official Video),1560223392,twenty one pilots,Ride (Official Video),0.1439878608070408
BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial),1560215360,BAD BUNNY x JHAY CORTEZ,DÁKITI (Video Oficial),0.14398689369670953
Dr. Dre - Still D.R.E. ft. Snoop Dogg,1552500975,Dr. Dre,Still D.R.E. ft. Snoop Dogg,0.14305802648646354
"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",1552202271,Enrique Iglesias,"SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",0.14302206038532012
Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,1550707260,Shakira,Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,0.1428420503525233
Backstreet Boys - I Want It That Way (Official HD Video),1550460082,Backstreet Boys,I Want It That Way (Official HD Video),0.14281228835084797
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),1540040683,Katy Perry,Last Friday Night (T.G.I.F.) (Official Music Video),0.14155771807965067
"Pitbull, Ke$ha - Timber (featuring Ke$ha - Official Video)",1533356195,"Pitbull, Ke$ha",Timber (featuring Ke$ha,0.14075285784510405
AC/DC - Thunderstruck (Official Video),1531269676,AC/DC,Thunderstruck (Official Video),0.14050162601228067
Prince Royce - Darte un Beso,1530224329,Prince Royce,Darte un Beso,0.14037575874591673
